customer_id,name,email,phone,address,dob,created_at
beb6ef48-8e78-4ca9-8d44-d44cc39715a5,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,"79402 Peterson Drives Apt. 511, Davisstad, PA 35172",1994-02-27,2023-11-07T17:48:22.738497
16053f2e-da84-4c1a-b982-3869118f5451,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T21:09:05.201614
e3346fc2-88a5-4424-a87d-ae7dfaf0fccf,Derek Clark,jason76@example.net,724.523.8849x696,"Unit 2871 Box 0122, DPO AP 55834",1979-10-31,2022-01-11T17:39:47.325236
7efbd3a0-b309-41df-9cf6-7c237d142429,Julie King,frazierdanny@example.net,001-645-514-6270x48281,"809 Burns Creek, Natashaport, IA 08093",1955-08-27,2022-12-29T17:21:50.171625
0c6ff8d7-e7dd-4bb8-aa94-704513cea42b,Nicholas Cabrera,davidalvarez@example.net,(848)796-3834,"33150 Brianna Avenue Apt. 031, Port Markhaven, IA 37001",1984-10-06,2021-02-16T23:53:25.958724
3a6eeeab-af30-487c-82ea-e30412ee7120,Timothy Duncan,esanchez@example.com,311.265.6670,"33387 Robert Harbors Suite 317, North Deniseside, MP 02435",2005-03-01,2024-11-20T19:20:23.523297
f86ee5d0-6771-4f69-8237-bf23850cc0e3,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-24,2024-12-20T03:55:55.899894
6387d727-b042-41e8-8fec-032326f876a8,Lauren Williams,barnesbrandy@example.net,343-353-4624x75107,"51354 Samuel Plains Suite 980, Sarahville, FM 18102",1957-04-04,2024-09-11T03:29:28.868098
bebcfbf9-cabf-4215-8886-e3f32a62bfd1,Brittney Campbell,jenniferharris@example.net,687-440-1640x052,"011 Amy Village Suite 982, Andersonport, MN 05730",2000-05-26,2021-02-08T23:24:40.805572
a8dfa937-7f9d-4806-af9d-40d989a42a05,Brian Deleon,vdickson@example.org,622.460.2563,"0733 Bailey View, East Andrew, ID 52728",1961-08-06,2024-07-24T06:11:42.839268
